"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"19084","ITBEES","Nippon India Nifty IT ETF","EQ","1.0000","1","ETF","E","NSE","50.9800","33.9900","","","2352953"
"11319","LICNETFN50","LIC Nifty ETF","EQ","1.0000","1","ETF","E","NSE","318.2400","212.1600","","","377069"
"6353","NIFTYETF","Mirae Asset Nifty 50 ETF","EQ","1.0000","1","ETF","E","NSE","308.3500","205.5600","","","389130"
"18284","HNGSNGBEES","Nippon India Hang Sen ETF","EQ","1.0000","1","ETF","E","NSE","314.5200","209.6800","","","381526"
"22243","EBBETF0425","Edelweiss BHARAT Bond ETF","EQ","1.0000","1","ETF","E","NSE","1476.9000","984.6000","","","81244"
"10576","NIFTYBEES","Nippon India Nifty Bees ETF","EQ","1.0000","1","ETF","E","NSE","322.8900","215.2600","","","370839"
"17700","LTGILTBEES","Nippon Long Term Gilt ETF","EQ","1.0000","1","ETF","E","NSE","31.6800","21.1200","","","3787148"
"590095","GOLDBEES","Nippon India Gold Bees ETF","E","1.0000","1","ETF","E","BSE","71.4600","47.6400","","","-1"
"11441","LICNETFSEN","LIC Sensex ETF","EQ","1.0000","1","ETF","E","NSE","1051.5600","701.0400","","","114115"
"19289","MOM50","Motilal Oswal M50 ETF","EQ","1.0000","1","ETF","E","NSE","296.8000","197.8700","","","57214"
"11457","NV20","Kotak NV 20 ETF","EQ","1.0000","1","ETF","E","NSE","186.7300","124.4800","","","149805"
"7361","SETFNIFBK","SBI Nifty Bank ETF","EQ","1.0000","1","ETF","E","NSE","607.5400","405.0300","","","185402"
"2636","DIVOPPBEES","Nip ETF Div Opportunities","EQ","1.0000","1","ETF","E","NSE","100.4800","66.9900","","","252201"
"1927","LIQUIDETF","DSP Liquid ETF","EQ","1.0000","1","ETF","E","NSE","1200.0000","800.0000","","","99990"
"22440","UTIBANKETF","UTI Bank ETF","EQ","1.0000","1","ETF","E","NSE","61.1200","40.7500","","","1962690"
"19679","GOLDIETF","ICICI Prudential Gold ETF","EQ","1.0000","1","ETF","E","NSE","73.5900","49.0600","","","1630091"
"15229","LICNFNHGP","LIC Nifty 100 ETF","EQ","1.0000","1","ETF","E","NSE","325.5700","217.0400","","","368569"
"590097","GOLD1","Kotak Mahindra Gold ETF","E","1.0000","1","ETF","E","BSE","71.8600","47.9100","","","-1"
"29577","NIF100BEES","Nippon India Nifty 100 ETF","EQ","1.0000","1","ETF","E","NSE","316.7000","211.1300","","","320028"
"25640","LICMFGOLD","IDBI Gold ETF","EQ","5.0000","1","ETF","E","NSE","7717.1000","5144.8000","","","6441"
"590113","HNGSNGBEES","Nippon India Hang Sen ETF","E","1.0000","1","ETF","E","BSE","314.5200","209.6800","","","-1"
"17181","NEXT50","Mirae Asset Nifty Next 50 ETF","EQ","1.0000","1","ETF","E","NSE","873.3700","582.2400","","","113025"
"29553","NIFTYIETF","ICICI Prudential Nifty India","EQ","1.0000","1","ETF","E","NSE","321.1600","214.1100","","","373444"
"11591","HDFCNIFTY","HDFCNIFTY","EQ","1.0000","1","ETF","E","NSE","319.5000","213.0000","","","375483"
"18292","IVZINGOLD","Invesco India Gold ETF","EQ","5.0000","1","ETF","E","NSE","7494.0500","4996.0500","","","6152"
"17044","SHARIABEES","Nippon India Shariah ETF","EQ","1.0000","1","ETF","E","NSE","680.7800","453.8500","","","12509"
"12978","NPBET","Tata Private Bank ETF","EQ","1.0000","1","ETF","E","NSE","306.7600","204.5100","","","12059"
"5851","BANKNIFTY1","Kotak Banking ETF","EQ","1.0000","1","ETF","E","NSE","613.7600","409.1700","","","195411"
"7218","SBIETFQLTY","SBI Quality ETF","EQ","1.0000","1","ETF","E","NSE","278.0100","185.3400","","","67921"
"533244","GOLDIETF","ICICI Prudential Gold ETF","E","1.0000","1","ETF","E","BSE","73.5900","49.0600","","","-1"
